id,type,cycle,watering,seeds,maintenance,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,flowers,edible_fruit,poisonous_to_humans,poisonous_to_pets,dimension_min,dimension_max,attracts_squirrels,attracts_birds,attracts_bees,attracts_butterflies,attracts_hummingbirds,hardiness_min,hardiness_max,sunlight_simplified
1,Tree,Perennial,Frequent,0,Missing,High,False,False,False,False,False,False,Moderate,False,False,0,0,1828.8,1828.8,False,False,False,False,False,7,7,Full Sun
2,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,914.4,914.4,False,False,False,False,False,4,4,Full Sun
3,Tree,Perennial,Average,0,Moderate,Low,True,False,False,False,False,False,Moderate,True,False,0,0,1371.6,1371.6,False,False,False,False,False,3,3,Partial Shade
4,Tree,Perennial,Average,0,Missing,Low,True,False,False,False,False,False,Moderate,False,False,0,0,914.4,914.4,False,False,False,False,False,4,4,Full Sun
5,Tree,Perennial,Frequent,0,Moderate,Moderate,False,False,False,False,False,False,Moderate,True,False,0,0,1066.8,1066.8,False,False,False,False,False,6,6,Partial Shade
6,Tree,Perennial,Average,0,Moderate,Low,False,False,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
7,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,True,False,0,0,2133.6,2133.6,False,False,False,False,False,2,2,Partial Shade
8,Tree,Perennial,Average,0,Moderate,Low,True,True,False,False,False,False,Moderate,True,False,0,0,1371.6,1371.6,False,False,False,False,False,7,7,Partial Shade
9,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,True,False,0,0,2743.2,2743.2,True,True,False,False,False,8,8,Full Sun
10,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,762.0,762.0,False,False,False,False,False,6,6,Partial Shade
11,Tree,Perennial,Average,0,Low,Low,True,False,False,True,False,False,Moderate,True,False,0,0,762.0,762.0,False,False,False,False,False,6,6,Partial Shade
12,Tree,Perennial,Average,0,Missing,Low,True,False,False,True,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,2,2,Partial Shade
13,Tree,Perennial,Frequent,0,Missing,High,True,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,3,3,Full Sun
14,Tree,Perennial,Frequent,0,Missing,High,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,2,2,Partial Shade
15,Tree,Perennial,Frequent,0,Missing,Low,True,False,False,False,False,False,,False,False,0,0,609.6,609.6,False,False,False,False,False,3,3,Partial Shade
16,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,914.4,914.4,False,False,False,False,False,5,5,Partial Shade
17,Tree,Perennial,Average,0,Low,Low,True,False,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
18,Tree,Perennial,Average,0,Low,Moderate,True,False,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
19,Tree,Perennial,Average,0,Missing,High,False,False,False,False,False,False,High,False,False,0,0,914.4,914.4,False,False,False,False,False,6,6,Partial Shade
20,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
21,Tree,Perennial,Average,0,Missing,Low,True,False,False,False,False,False,,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
22,Tree,Perennial,Average,0,Low,Low,True,False,False,False,False,False,Moderate,True,False,0,0,914.4,914.4,False,False,False,False,False,6,6,Partial Shade
23,Tree,Perennial,Average,1,Low,Moderate,False,False,False,False,False,False,Moderate,True,False,0,0,1828.8,1828.8,True,False,True,False,False,6,6,Partial Shade
24,Tree,Perennial,Average,0,Low,Moderate,True,False,False,False,False,False,Moderate,True,False,0,0,1828.8,1828.8,True,False,True,False,False,6,6,Partial Shade
25,Tree,Perennial,Average,0,Low,Low,True,True,False,False,False,False,Moderate,True,False,0,0,762.0,762.0,False,False,False,False,False,6,6,Partial Shade
26,Tree,Perennial,Frequent,0,Low,Low,False,True,False,False,False,False,,True,False,0,0,762.0,762.0,False,False,False,False,False,6,6,Partial Shade
27,Tree,Perennial,Average,1,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
28,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,243.84,243.84,False,False,False,False,False,6,6,Partial Shade
29,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,365.76,365.76,False,False,False,False,False,7,7,Partial Shade
30,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
